;Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas, ESP, 2024;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;Janeiro ;;;Total;;
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;351280 Cosmópolis;35;14;0;35;14;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351290 Cosmorama;22;4;0;22;4;0
1;São Paulo;X;OSASCO;35013;MANANCIAIS;351300 Cotia;391;173;9;391;173;9
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35132;AQUÍFERO GUARANI;351310 Cravinhos;514;75;0;514;75;0
8;Franca;XVIII;FRANCA;35081;TRÊS COLINAS;351320 Cristais Paulista;49;6;0;49;6;0
9;Marília;XIII;ASSIS;35092;ASSIS;351330 Cruzália;10;1;0;10;1;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351340 Cruzeiro;57;17;0;57;17;0
4;Baixada Santista;XXV;SANTOS;35041;BAIXADA SANTISTA;351350 Cubatão;74;6;0;74;6;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351360 Cunha;29;5;5;29;5;5
3;Araraquara;XII;ARARAQUARA;35034;CORAÇÃO DO DRS III;351370 Descalvado;19;2;0;19;2;0
1;São Paulo;VII;SANTO ANDRÉ;35015;GRANDE ABC;351380 Diadema;191;18;3;191;18;3
15;São José do Rio Preto;XXX;JALES;35153;JALES;351385 Dirce Reis;4;1;0;4;1;0
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35143;RIO PARDO;351390 Divinolândia;1;0;0;1;0;0
3;Araraquara;XII;ARARAQUARA;35033;NORTE DO DRS III;351400 Dobrada;4;0;0;4;0;0
6;Bauru;XV;BAURU;35064;JAU;351410 Dois Córregos;764;354;0;764;354;0
15;São José do Rio Preto;XXX;JALES;35153;JALES;351420 Dolcinópolis;1;0;0;1;0;0
3;Araraquara;XII;ARARAQUARA;35034;CORAÇÃO DO DRS III;351430 Dourado;8;0;0;8;0;0
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351440 Dracena;85;10;1;85;10;1
6;Bauru;XV;BAURU;35062;BAURU;351450 Duartina;2;1;1;2;1;1
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35131;HORIZONTE VERDE;351460 Dumont;93;37;0;93;37;0
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351470 Echaporã;7;0;0;7;0;0
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;351480 Eldorado;2;1;0;2;1;0
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;351490 Elias Fausto;22;3;3;22;3;3
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351492 Elisiário;10;1;0;10;1;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351495 Embaúba;2;2;0;2;2;0
1;São Paulo;X;OSASCO;35013;MANANCIAIS;351500 Embu;257;44;5;257;44;5
1;São Paulo;X;OSASCO;35013;MANANCIAIS;351510 Embu-Guaçu;19;10;0;19;10;0
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351512 Emilianópolis;1;0;0;1;0;0
10;Piracicaba;XX;PIRACICABA;35102;LIMEIRA;351515 Engenheiro Coelho;39;4;0;39;4;0
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;351518 Espírito Santo do Pinhal;114;37;1;114;37;1
9;Marília;XIII;ASSIS;35094;OURINHOS;351519 Espírito Santo do Turvo;3;0;1;3;0;1
15;São José do Rio Preto;XXX;JALES;35154;FERNANDÓPOLIS;351520 Estrela d'Oeste;23;0;0;23;0;0
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351530 Estrela do Norte;12;1;1;12;1;1
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35115;PONTAL DO PARANAPANEMA;351535 Euclides da Cunha Paulista;2;0;0;2;0;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;351540 Fartura;3;1;1;3;1;1
15;São José do Rio Preto;XXX;JALES;35154;FERNANDÓPOLIS;351550 Fernandópolis;68;20;0;68;20;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351560 Fernando Prestes;7;1;0;7;1;0
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351565 Fernão;1;0;0;1;0;0
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351570 Ferraz de Vasconcelos;224;63;2;224;63;2
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351580 Flora Rica;0;0;0;0;0;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351590 Floreal;3;0;0;3;0;0
9;Marília;XIX;MARÍLIA;35091;ADAMANTINA ;351600 Flórida Paulista;4;1;0;4;1;0
9;Marília;XIII;ASSIS;35092;ASSIS;351610 Florínia;9;1;1;9;1;1
8;Franca;XVIII;FRANCA;35081;TRÊS COLINAS;351620 Franca;800;445;1;800;445;1
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351630 Francisco Morato;138;43;0;138;43;0
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351640 Franco da Rocha;799;223;0;799;223;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351650 Gabriel Monteiro;3;0;0;3;0;0
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351660 Gália;1;0;0;1;0;0
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351670 Garça;109;21;0;109;21;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351680 Gastão Vidigal;3;1;0;3;1;0
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;351685 Gavião Peixoto;8;2;1;8;2;1
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351690 General Salgado;16;0;0;16;0;0
